file_name,observer_name,type_grating,spatial_frequency,contrast_level,rgb_min,rgb_max,scase1_reversals,scase2_reversals
kh SCSF 63.txt,kh,Compound,1.585,100.0,"[0, 0, 0]","[705, 200, 0]","[50.118, 1.5848, 3.1622, 2.2387, 8.9125, 4.4668, 8.9125, 4.4668, 6.3095, 2.2387, 4.4668, 2.2387]","[0.79432, 1.5848, 0.79432, 2.2387, 1.122, 3.1622, 2.2387, 4.4668, 3.1622, 8.9125, 6.3095, 8.9125]"
re SCSF 125.txt,re,Compound,0.251,100.0,"[0, 0, 0]","[1000, 152, 0]","[0.79432, 1.5848, 0.79432, 1.122, 0.56234, 1.122, 0.79432, 1.122, 0.56234, 0.79432, 0.56234, 0.79432]","[3.1622, 6.3095, 3.1622, 4.4668, 0.3981, 1.122, 0.56234, 0.79432, 0.56234, 0.79432, 0.28183, 0.3981]"
re SCSF 162.txt,re,Compound,0.631,100.0,"[0, 0, 0]","[1000, 152, 0]","[12.589, 25.118, 4.4668, 6.3095, 1.5848, 3.1622, 0.79432, 1.122, 0.56234, 0.79432, 0.56234, 0.79432]","[6.3095, 12.589, 8.9125, 12.589, 3.1622, 4.4668, 3.1622, 4.4668, 3.1622, 6.3095, 2.2387, 3.1622]"
re SCSF 12.txt,re,Equiluminance,0.158,100.0,"[0, 107, 0]","[705, 0, 0]","[0.3981, 1.5848, 1.122, 1.5848, 0.56234, 0.79432, 0.3981, 0.56234, 0.3981, 2.2387, 0.79432, 1.122]","[0.79432, 1.5848, 0.79432, 1.122, 0.56234, 0.79432, 0.56234, 0.79432, 0.56234, 0.79432, 0.56234, 0.79432]"
kh SCSF 14.txt,kh,Equiluminance,0.158,100.0,"[0, 0]","[705, 0, 0]","[1.5848, 6.3095, 3.1622, 12.589, 4.4668, 6.3095, 3.1622, 6.3095, 4.4668, 8.9125, 2.2387, 3.1622]","[3.1622, 6.3095, 3.1622, 6.3095, 4.4668, 6.3095, 3.1622, 6.3095, 3.1622, 4.4668, 3.1622, 6.3095]"
mj SCSF 66.txt,mj,Compound,0.251,100.0,"[0, 0, 0]","[700, 211, 0]","[0.79432, 1.5848, 0.79432, 1.5848, 0.79432, 1.122, 0.56234, 2.2387, 0.79432, 2.2387, 0.79432, 1.5848]","[0.3981, 1.5848, 1.122, 1.5848, 1.122, 1.5848, 0.79432, 1.122, 0.56234, 0.79432, 0.3981, 0.79432]"
re SCSF 170.txt,re,Compound,1.0,100.0,"[0, 0, 0]","[1000, 152, 0]","[0.3981, 3.1622, 2.2387, 3.1622, 2.2387, 3.1622, 1.5848, 2.2387, 1.122, 1.5848, 1.122, 1.5848]","[50.118, 0.050118, 0.0, 0.050118, 0.0, 0.070794, 0.19952, 0.0, 0.14125, 0.070794, 0.14125, 0.0]"
re SCSF 185.txt,re,Compound,1.0,100.0,"[0, 0, 0]","[1000, 152, 0]","[1.5848, 6.3095, 3.1622, 4.4668, 3.1622, 6.3095, 4.4668, 8.9125, 3.1622, 6.3095, 1.5848, 2.2387]","[3.1622, 6.3095, 3.1622, 4.4668, 2.2387, 3.1622, 2.2387, 3.1622, 2.2387, 3.1622, 2.2387, 3.1622]"
re SCSF 89.txt,re,Compound,0.251,100.0,"[0, 0, 0]","[705, 107, 0]","[0.3981, 0.79432, 0.56234, 0.79432, 0.3981, 0.56234, 0.28183, 0.3981, 0.28183, 0.3981, 0.28183, 0.3981]","[0.3981, 0.79432, 0.56234, 0.79432, 0.28183, 0.3981, 0.28183, 0.3981, 0.28183, 0.3981, 0.28183, 0.79432]"
mj SCSF 1.txt,mj,Luminance,1.0,100.0,"[0, 0, 0]","[700, 211, 0]","[1.5848, 3.1622, 2.2387, 3.1622, 1.122, 1.5848, 0.79432, 1.122, 0.56234, 1.122, 0.56234, 0.79432]","[0.3981, 0.79432, 0.56234, 1.122, 0.56234, 0.79432, 0.56234, 1.122, 0.79432, 1.122, 0.79432, 1.122]"
kh SCSF 65.txt,kh,Compound,1.0,100.0,"[0, 0, 0]","[705, 200, 0]","[50.118, 0.79432, 4.4668, 3.1622, 12.589, 4.4668, 8.9125, 4.4668, 8.9125, 4.4668, 8.9125, 1.5848]","[50.118, 6.3095, 8.9125, 6.3095, 8.9125, 2.2387, 6.3095, 4.4668, 12.589, 3.1622, 4.4668, 3.1622]"
kh SCSF 95.txt,kh,Compound,1.0,100.0,"[0, 0, 0]","[705, 200, 0]","[3.1622, 6.3095, 1.5848, 2.2387, 1.122, 2.2387, 1.122, 2.2387, 0.3981, 0.56234, 0.3981, 0.79432]","[3.1622, 6.3095, 2.2387, 3.1622, 2.2387, 3.1622, 2.2387, 3.1622, 1.5848, 2.2387, 1.122, 2.2387]"
kh SCSF 86.txt,kh,Compound,0.1,100.0,"[0, 0, 0]","[705, 200, 0]","[0.79432, 1.5848, 1.122, 1.5848, 0.79432, 1.122, 0.56234, 0.79432, 0.56234, 0.79432, 0.19952, 0.28183]","[0.79432, 1.5848, 0.56234, 1.122, 0.56234, 1.122, 0.79432, 1.122, 0.56234, 1.122, 0.28183, 0.3981]"
re SCSF 86.txt,re,Compound,0.251,100.0,"[0, 0, 0]","[705, 107, 0]","[0.19952, 0.3981, 0.28183, 0.56234, 0.14125, 0.79432, 0.56234, 1.122, 0.56234, 0.79432, 0.56234, 0.79432]","[0.3981, 0.79432, 0.3981, 0.56234, 0.3981, 0.79432, 0.3981, 0.56234, 0.3981, 0.79432, 0.56234, 0.79432]"
kh SCSF 48.txt,kh,Compound,0.398,100.0,"[0, 0, 0]","[705, 200, 0]","[0.79432, 1.5848, 0.3981, 0.56234, 0.3981, 0.56234, 0.3981, 1.122, 0.79432, 1.5848, 0.79432, 1.5848]","[0.79432, 1.5848, 1.122, 1.5848, 1.122, 1.5848, 0.79432, 1.122, 0.79432, 1.122, 0.56234, 0.79432]"
re SCSF 151.txt,re,Compound,1.585,100.0,"[0, 0, 0]","[1000, 152, 0]","[3.1622, 25.118, 12.589, 17.782, 6.3095, 8.9125, 4.4668, 6.3095, 2.2387, 4.4668, 1.5848, 3.1622]","[1.5848, 3.1622, 2.2387, 6.3095, 3.1622, 4.4668, 3.1622, 6.3095, 4.4668, 6.3095, 4.4668, 6.3095]"
